页签,序号,项目名称,分类,上游地址,仓库是否删除,entity_type
昇腾,1,transformers,训练加速,https://github.com/huggingface/transformers,,repo
昇腾,2,accelerate,训练加速,https://github.com/huggingface/accelerate,,repo
昇腾,3,PEFT,训练加速,https://github.com/huggingface/peft,,repo
昇腾,4,TRL,训练加速,https://github.com/huggingface/trl,,repo
昇腾,5,diffusers,推理加速,https://github.com/huggingface/diffusers,,repo
昇腾,6,timm,推理加速,https://github.com/huggingface/pytorch-image-models,,repo
昇腾,7,TGI,推理加速,https://github.com/huggingface/text-generation-inference,,repo
昇腾,8,LlamaFactory,训练加速,https://github.com/hiyouga/LlamaFactory,,repo
昇腾,9,FastChat,推理加速,https://github.com/lm-sys/FastChat,,repo
昇腾,10,stable-diffusion-webui,推理加速,https://github.com/AUTOMATIC1111/stable-diffusion-webui,,repo
昇腾,11,lm-eval-harness,推理加速,https://github.com/EleutherAI/lm-evaluation-harness,,repo
昇腾,12,opencompass,推理加速,https://github.com/open-compass/opencompass,,repo
昇腾,13,axolotl,训练加速,https://github.com/axolotl-ai-cloud/axolotl,,repo
昇腾,14,openclip,推理加速,https://github.com/mlfoundations/open_clip,,repo
昇腾,15,InternLM,推理加速,https://github.com/InternLM/InternLM,,repo
昇腾,16,Ollama,推理加速,https://github.com/ollama/ollama,,repo
昇腾,17,OPEA,推理加速,https://github.com/opea-project,,organization
昇腾,18,unsolth,训练加速,https://github.com/unslothai/unsloth,,repo
昇腾,19,OpenRLHF,训练加速,https://github.com/OpenRLHF/OpenRLHF,,repo
昇腾,20,veRL,训练加速,https://github.com/verl-project/verl,,repo
昇腾,21,ChatLearn,训练加速,https://github.com/alibaba/ChatLearn,,repo
昇腾,22,OpenMMLab,训练加速,https://github.com/open-mmlab,,organization
昇腾,23,ModelScope,推理加速,https://github.com/modelscope,,organization
昇腾,24,ComfyUI,推理加速,https://github.com/Comfy-Org/ComfyUI,,repo
昇腾,25,DeepSpeed,训练加速,https://github.com/deepspeedai/DeepSpeed,,repo
昇腾,26,OpenCV,推理加速,https://github.com/opencv/opencv,,repo
昇腾,27,ONNXRuntime,推理加速,https://github.com/microsoft/onnxruntime,,repo
昇腾,28,llama.cpp,推理加速,https://github.com/ggml-org/llama.cpp,,repo
昇腾,29,whisper,推理加速,https://github.com/ggml-org/whisper.cpp,,repo
昇腾,30,wenet,推理加速,https://github.com/wenet-e2e/wenet,,repo
昇腾,31,vLLM社区,推理加速,https://github.com/vllm-project,,organization
昇腾,32,SGLang社区,推理加速,https://github.com/sgl-project,,organization
昇腾,33,Kserver,推理加速,https://github.com/kserve/kserve,,repo
昇腾,34,Kubernetes DRA,推理加速,https://github.com/kubernetes/dynamic-resource-allocation,,repo
昇腾,35,Ray,推理加速,https://github.com/ray-project/ray,,repo
昇腾,36,OpenXLA,推理加速,https://github.com/openxla/xla,,repo
昇腾,37,bitsandbytes,推理加速,https://github.com/bitsandbytes-foundation/bitsandbytes,,repo
昇腾,38,PyTorch社区,AI框架,https://github.com/pytorch,,organization
昇腾,39,TensorFlow,AI框架,https://github.com/tensorflow/tensorflow,,repo
昇腾,40,Triton,算子库和编程,https://github.com/triton-lang/triton,,repo
昇腾,41,Dify,应用加速,https://github.com/langgenius/dify,,repo
昇腾,42,Coze,应用加速,https://github.com/coze-dev/coze-studio,,repo
昇腾,43,MiniOneRec,应用加速,https://github.com/AkaliKong/MiniOneRec,,repo
昇腾,44,MTGR,应用加速,https://github.com/meituan,,organization
昇腾,45,X402,应用加速,https://github.com/x402-foundation/x402,,repo
昇腾,46,AP2,应用加速,https://github.com/google-agentic-commerce/AP2,,repo
昇腾,47,MCP,应用加速,https://github.com/modelcontextprotocol/modelcontextprotocol,,repo
昇腾,48,A2A,应用加速,https://github.com/a2aproject/A2A,,repo
昇腾,49,A2UI,应用加速,https://github.com/google/A2UI,,repo
昇腾,50,ANP,应用加速,https://github.com/agent-network-protocol/AgentNetworkProtocol,,repo
昇腾,51,Magatron,训练加速,https://github.com/NVIDIA/Megatron-LM,,repo
昇腾,52,torchtitan,训练加速,https://github.com/pytorch/torchtitan,,repo
昇腾,53,VeOmni,训练加速,https://github.com/ByteDance-Seed/VeOmni,,repo
昇腾,54,torchtune,训练加速,https://github.com/meta-pytorch/torchtune,,repo
