页签,序号,项目名称,分类,上游地址,status,url_type,actual_url,stars,forks,watchers,open_issues_count,total_pull_requests,language,license,created_at,updated_at,pushed_at,size_kb,default_branch,topics,fork,archived,mirror_url,has_issues,note
昇腾,1,transformers,训练加速,https://github.com/huggingface/transformers,valid,repo,,159141,32816,1196,2376,25867,Python,Apache-2.0,2018-10-29T13:56:00Z,2026-04-10T07:40:45Z,2026-04-10T07:41:45Z,464010,main,"audio,deep-learning,deepseek,gemma,glm,hacktoberfest,llm,machine-learning,model-hub,natural-language-processing,nlp,pretrained-models,python,pytorch,pytorch-transformers,qwen,speech-recognition,transformer,vlm",False,False,,True,
昇腾,2,accelerate,训练加速,https://github.com/huggingface/accelerate,valid,repo,,9598,1331,95,97,2014,Python,Apache-2.0,2020-10-30T13:27:12Z,2026-04-10T07:20:13Z,2026-04-09T15:49:13Z,7046,main,,False,False,,True,
昇腾,3,PEFT,训练加速,https://github.com/huggingface/peft,valid,repo,,20907,2242,109,42,1628,Python,Apache-2.0,2022-11-25T03:51:09Z,2026-04-10T05:36:00Z,2026-04-09T15:03:49Z,25904,main,"adapter,diffusion,fine-tuning,llm,lora,parameter-efficient-learning,peft,python,pytorch,transformers",False,False,,True,
昇腾,4,TRL,训练加速,https://github.com/huggingface/trl,valid,repo,,17989,2633,101,672,3056,Python,Apache-2.0,2020-03-27T10:54:55Z,2026-04-10T06:59:01Z,2026-04-10T04:26:24Z,19462,main,,False,False,,True,
昇腾,5,diffusers,推理加速,https://github.com/huggingface/diffusers,valid,repo,,33292,6902,215,976,7136,Python,Apache-2.0,2022-05-30T16:04:02Z,2026-04-10T07:40:47Z,2026-04-10T06:41:50Z,94506,main,"deep-learning,diffusion,flux,image-generation,image2image,image2video,latent-diffusion-models,pytorch,qwen-image,score-based-generative-modeling,stable-diffusion,stable-diffusion-diffusers,text2image,text2video,video2video",False,False,,True,
昇腾,6,timm,推理加速,https://github.com/huggingface/pytorch-image-models,valid,repo,,36622,5144,315,65,727,Python,Apache-2.0,2019-02-02T05:51:12Z,2026-04-10T07:33:41Z,2026-04-09T17:27:48Z,30617,main,"augmix,convnext,distributed-training,efficientnet,image-classification,imagenet,maxvit,mixnet,mobile-deep-learning,mobilenet-v2,mobilenetv3,nfnets,normalization-free-training,optimizer,pretrained-models,pretrained-weights,pytorch,randaugment,resnet,vision-transformer-models",False,False,,True,
昇腾,7,TGI,推理加速,https://github.com/huggingface/text-generation-inference,valid,repo,,10829,1261,98,324,1712,Python,Apache-2.0,2022-10-08T10:26:28Z,2026-04-10T04:09:22Z,2026-03-21T11:34:22Z,14170,main,"bloom,deep-learning,falcon,gpt,inference,nlp,pytorch,starcoder,transformer",False,True,,True,
昇腾,8,LlamaFactory,训练加速,https://github.com/hiyouga/LLaMA-Factory,valid,repo,https://github.com/hiyouga/LlamaFactory,69840,8518,329,962,1256,Python,Apache-2.0,2023-05-28T10:09:12Z,2026-04-10T07:34:09Z,2026-04-06T05:14:45Z,13191,main,"agent,ai,deepseek,fine-tuning,gemma,gpt,instruction-tuning,large-language-models,llama,llama3,llm,lora,moe,nlp,peft,qlora,quantization,qwen,rlhf,transformers",False,False,,True,
昇腾,9,FastChat,推理加速,https://github.com/lm-sys/FastChat,valid,repo,,39444,4794,357,1015,1246,Python,Apache-2.0,2023-03-19T00:18:02Z,2026-04-10T07:40:04Z,2025-06-02T15:22:03Z,35345,main,,False,False,,True,
昇腾,10,stable-diffusion-webui,推理加速,https://github.com/AUTOMATIC1111/stable-diffusion-webui,valid,repo,,162275,30254,1178,2477,3326,Python,AGPL-3.0,2022-08-22T14:05:26Z,2026-04-10T07:39:43Z,2026-03-02T07:00:53Z,36552,master,"ai,ai-art,deep-learning,diffusion,gradio,image-generation,image2image,img2img,pytorch,stable-diffusion,text2image,torch,txt2img,unstable,upscaling,web",False,False,,True,
