org_name,org_url,platform,repo_count,页签,项目名称,分类,上游地址,description,blog,location,public_repos,source
The Apache Software Foundation,https://github.com/apache,github.com,50,鲲鹏,APR;APR-util;ATS;Accumulo;ActiveMQ;Ambari(中移);Ant;Apache HTTP Server;Arrow;Atlas;Avro;Cassandra;Celeborn（阿里）;Doris;Drill;Druid;Dubbo;Flink;Flume;Gluten(京东/美团);Guacamole;HBase;Hadoop;Hive;Iceberg(字节/京东);Impala;Kafka;Kudu;Kylin;Kyuubi;Livy;Lucene;Maven;Mesos;ORC(京东);Oozie;Parquet;Phoenix;Pig;Solr;Spark;Storm;TVM(CBG);Tez;Thrift;Tomcat;Zookeeper;auron（快手）;brpc;hudi(字节/京东),"Web,基础库&加速库,大数据,搜广推,数据库",,,https://www.apache.org/,,3097,"repo_known_org.csv,repo_unknown_org.csv"
bioconductor,https://github.com/bioconductor,github.com,11,鲲鹏,Bioconductor;batchelor;biovizbase;dnacopy;fastseg;geneselectmmd;genomation;kebabs;maigespack;metapod;methylkit;monocle,HPC,https://github.com/bioconductor,,,,0,"organization.csv,repo_unknown_org.csv"
Google,https://github.com/google,github.com,8,"昇腾,鲲鹏",A2UI;Snappy;benchmark;LevelDB;Google Test;FlatBuffers;RE2;ScaNN(美团),"ARM应用支持,基础库&加速库,应用加速,搜广推,数据库",,Google ❤️ Open Source,https://opensource.google/,United States of America,2852,repo_known_org.csv
Hugging Face,https://github.com/huggingface,github.com,7,昇腾,transformers;accelerate;PEFT;TRL;diffusers;timm;TGI,"推理加速,训练加速",,The AI community building the future.,https://huggingface.co/,NYC + Paris,403,repo_known_org.csv
Alibaba,https://github.com/alibaba,github.com,6,"昇腾,鲲鹏",ChatLearn;ROLL;rtp-llm;Tengine;FastJSON;canal,"Web,基础库&加速库,推理加速,训练加速",,Alibaba Open Source,https://opensource.alibaba.com/,"Hangzhou, China",520,repo_known_org.csv
Meta,https://github.com/facebook,github.com,5,鲲鹏,Zstd;RocksDB;React;folly(字节);fbthrift(字节),"基础库&加速库,数据库",,We are working to build community through open source technology. NB: members must have two-factor auth.,https://opensource.fb.com,"Menlo Park, California",167,repo_known_org.csv
vllm-project,https://github.com/vllm-project,github.com,5,"昇腾,鲲鹏",AIBrix;llm-compressor;router;speculators;vLLM(蚂蚁/腾讯);vLLM社区,"推理加速,搜广推,训练加速",https://github.com/vllm-project,,,,36,"organization.csv,repo_known_org.csv"
NVIDIA Corporation,https://github.com/NVIDIA,github.com,4,"昇腾,鲲鹏",Magatron;TensorRT;TensorRT（京东）;TensorRT-LLM（京东）,"HPC,搜广推,训练加速",,,https://nvidia.com,"2788 San Tomas Expressway, Santa Clara, CA, 95051",710,repo_known_org.csv
pytorch,https://github.com/pytorch,github.com,4,"昇腾,鲲鹏",PyTorch;PyTorch社区;tensordict;torchtitan;torchvision,"AI框架,搜广推,训练加速",https://github.com/pytorch,,https://pytorch.org,where the eigens are valued,67,"organization.csv,repo_known_org.csv"
Broad Institute,https://github.com/broadinstitute,github.com,3,鲲鹏,GATK;pilon;picard,HPC,,Broad Institute of MIT and Harvard,http://www.broadinstitute.org/,"Cambridge, MA",1468,repo_known_org.csv
