页签,序号,项目名称,分类,上游地址,entity_type,reason,source,expanded_from_org,stars,description,language,llm_note
昇腾,1,transformers,训练加速,https://github.com/huggingface/transformers,repo,脚本分类: github.com/huggingface/transformers,repo,,,,,
昇腾,2,accelerate,训练加速,https://github.com/huggingface/accelerate,repo,脚本分类: github.com/huggingface/accelerate,repo,,,,,
昇腾,3,PEFT,训练加速,https://github.com/huggingface/peft,repo,脚本分类: github.com/huggingface/peft,repo,,,,,
昇腾,4,TRL,训练加速,https://github.com/huggingface/trl,repo,脚本分类: github.com/huggingface/trl,repo,,,,,
昇腾,5,diffusers,推理加速,https://github.com/huggingface/diffusers,repo,脚本分类: github.com/huggingface/diffusers,repo,,,,,
昇腾,6,timm,推理加速,https://github.com/huggingface/pytorch-image-models,repo,脚本分类: github.com/huggingface/pytorch-image-models,repo,,,,,
昇腾,7,TGI,推理加速,https://github.com/huggingface/text-generation-inference,repo,脚本分类: github.com/huggingface/text-generation-inference,repo,,,,,
昇腾,8,LlamaFactory,训练加速,https://github.com/hiyouga/LLaMA-Factory,repo,脚本分类: github.com/hiyouga/LLaMA-Factory,repo,,,,,
昇腾,9,FastChat,推理加速,https://github.com/lm-sys/FastChat,repo,脚本分类: github.com/lm-sys/FastChat,repo,,,,,
昇腾,10,stable-diffusion-webui,推理加速,https://github.com/AUTOMATIC1111/stable-diffusion-webui,repo,脚本分类: github.com/AUTOMATIC1111/stable-diffusion-webui,repo,,,,,
昇腾,11,lm-eval-harness,推理加速,https://github.com/EleutherAI/lm-evaluation-harness,repo,脚本分类: github.com/EleutherAI/lm-evaluation-harness,repo,,,,,
昇腾,12,opencompass,推理加速,https://github.com/open-compass/opencompass,repo,脚本分类: github.com/open-compass/opencompass,repo,,,,,
昇腾,13,axolotl,训练加速,https://github.com/axolotl-ai-cloud/axolotl,repo,脚本分类: github.com/axolotl-ai-cloud/axolotl,repo,,,,,
昇腾,14,openclip,推理加速,https://github.com/mlfoundations/open_clip,repo,脚本分类: github.com/mlfoundations/open_clip,repo,,,,,
昇腾,15,InternLM,推理加速,https://github.com/InternLM/InternLM,repo,脚本分类: github.com/InternLM/InternLM,repo,,,,,
昇腾,16,Ollama,推理加速,https://github.com/ollama/ollama,repo,脚本分类: github.com/ollama/ollama,repo,,,,,
昇腾,18,unsolth,训练加速,https://github.com/unslothai/unsloth,repo,脚本分类: github.com/unslothai/unsloth,repo,,,,,
昇腾,19,OpenRLHF,训练加速,https://github.com/OpenRLHF/OpenRLHF,repo,脚本分类: github.com/OpenRLHF/OpenRLHF,repo,,,,,
昇腾,20,veRL,训练加速,https://github.com/volcengine/verl,repo,脚本分类: github.com/volcengine/verl,repo,,,,,
昇腾,21,ChatLearn,训练加速,https://github.com/alibaba/ChatLearn,repo,脚本分类: github.com/alibaba/ChatLearn,repo,,,,,
昇腾,24,ComfyUI,推理加速,https://github.com/comfyanonymous/ComfyUI,repo,脚本分类: github.com/comfyanonymous/ComfyUI,repo,,,,,
昇腾,25,DeepSpeed,训练加速,https://github.com/deepspeedai/DeepSpeed,repo,脚本分类: github.com/deepspeedai/DeepSpeed,repo,,,,,
昇腾,26,OpenCV,推理加速,https://github.com/opencv/opencv,repo,脚本分类: github.com/opencv/opencv,repo,,,,,
昇腾,27,ONNXRuntime,推理加速,https://github.com/microsoft/onnxruntime,repo,脚本分类: github.com/microsoft/onnxruntime,repo,,,,,
昇腾,28,llama.cpp,推理加速,https://github.com/ggml-org/llama.cpp,repo,脚本分类: github.com/ggml-org/llama.cpp,repo,,,,,
昇腾,29,whisper,推理加速,https://github.com/ggerganov/whisper.cpp,repo,脚本分类: github.com/ggerganov/whisper.cpp,repo,,,,,
昇腾,30,wenet,推理加速,https://github.com/wenet-e2e/wenet,repo,脚本分类: github.com/wenet-e2e/wenet,repo,,,,,
昇腾,33,Kserver,推理加速,https://github.com/kserve/kserve,repo,脚本分类: github.com/kserve/kserve,repo,,,,,
昇腾,34,Kubernetes DRA,推理加速,https://github.com/kubernetes/dynamic-resource-allocation,repo,脚本分类: github.com/kubernetes/dynamic-resource-allocation,repo,,,,,
昇腾,35,Ray,推理加速,https://github.com/ray-project/ray,repo,脚本分类: github.com/ray-project/ray,repo,,,,,
昇腾,36,OpenXLA,推理加速,https://github.com/openxla/xla,repo,脚本分类: github.com/openxla/xla,repo,,,,,
昇腾,37,bitsandbytes,推理加速,https://github.com/bitsandbytes-foundation/bitsandbytes,repo,脚本分类: github.com/bitsandbytes-foundation/bitsandbytes,repo,,,,,
昇腾,39,TensorFlow,AI框架,https://github.com/tensorflow/tensorflow,repo,脚本分类: github.com/tensorflow/tensorflow,repo,,,,,
昇腾,40,Triton,算子库和编程,https://github.com/triton-lang/triton,repo,脚本分类: github.com/triton-lang/triton,repo,,,,,
昇腾,41,Dify,应用加速,https://github.com/langgenius/dify,repo,脚本分类: github.com/langgenius/dify,repo,,,,,
昇腾,42,Coze,应用加速,https://github.com/coze-dev/coze-studio,repo,脚本分类: github.com/coze-dev/coze-studio,repo,,,,,
昇腾,43,MiniOneRec,应用加速,https://github.com/AkaliKong/MiniOneRec,repo,脚本分类: github.com/AkaliKong/MiniOneRec,repo,,,,,
昇腾,45,X402,应用加速,https://github.com/coinbase/x402,repo,脚本分类: github.com/coinbase/x402,repo,,,,,
昇腾,46,AP2,应用加速,https://github.com/google-agentic-commerce/AP2,repo,脚本分类: github.com/google-agentic-commerce/AP2,repo,,,,,
昇腾,47,MCP,应用加速,https://github.com/modelcontextprotocol/modelcontextprotocol,repo,脚本分类: github.com/modelcontextprotocol/modelcontextprotocol,repo,,,,,
昇腾,48,A2A,应用加速,https://github.com/a2aproject/A2A,repo,脚本分类: github.com/a2aproject/A2A,repo,,,,,
昇腾,49,A2UI,应用加速,https://github.com/google/A2UI,repo,脚本分类: github.com/google/A2UI,repo,,,,,
昇腾,50,ANP,应用加速,https://github.com/agent-network-protocol/AgentNetworkProtocol,repo,脚本分类: github.com/agent-network-protocol/AgentNetworkProtocol,repo,,,,,
昇腾,51,Magatron,训练加速,https://github.com/NVIDIA/Megatron-LM,repo,脚本分类: github.com/NVIDIA/Megatron-LM,repo,,,,,
昇腾,52,torchtitan,训练加速,https://github.com/pytorch/torchtitan,repo,脚本分类: github.com/pytorch/torchtitan,repo,,,,,
昇腾,53,VeOmni,训练加速,https://github.com/ByteDance-Seed/VeOmni,repo,脚本分类: github.com/ByteDance-Seed/VeOmni,repo,,,,,
昇腾,54,torchtune,训练加速,https://github.com/meta-pytorch/torchtune,repo,脚本分类: github.com/meta-pytorch/torchtune,repo,,,,,
昇腾,55,xtuner,训练加速,https://github.com/InternLM/xtuner,repo,脚本分类: github.com/InternLM/xtuner,repo,,,,,
昇腾,56,ms-swift,训练加速,https://github.com/modelscope/ms-swift,repo,脚本分类: github.com/modelscope/ms-swift,repo,,,,,
昇腾,57,Areal,训练加速,https://github.com/inclusionAI/AReaL,repo,脚本分类: github.com/inclusionAI/AReaL,repo,,,,,
昇腾,58,Slime,训练加速,https://github.com/THUDM/slime,repo,脚本分类: github.com/THUDM/slime,repo,,,,,
昇腾,59,ROLL,训练加速,https://github.com/alibaba/ROLL,repo,脚本分类: github.com/alibaba/ROLL,repo,,,,,
昇腾,60,speculators,训练加速,https://github.com/vllm-project/speculators,repo,脚本分类: github.com/vllm-project/speculators,repo,,,,,
昇腾,61,SpecForge,训练加速,https://github.com/sgl-project/SpecForge,repo,脚本分类: github.com/sgl-project/SpecForge,repo,,,,,
昇腾,62,tensordict,训练加速,https://github.com/pytorch/tensordict,repo,脚本分类: github.com/pytorch/tensordict,repo,,,,,
昇腾,63,torchvision,训练加速,https://github.com/pytorch/vision,repo,脚本分类: github.com/pytorch/vision,repo,,,,,
昇腾,64,Liger-Kernel,训练加速,https://github.com/linkedin/Liger-Kernel,repo,脚本分类: github.com/linkedin/Liger-Kernel,repo,,,,,
昇腾,65,flash-linear-attention,训练加速,https://github.com/fla-org/flash-linear-attention,repo,脚本分类: github.com/fla-org/flash-linear-attention,repo,,,,,
昇腾,66,dgl,训练加速,https://github.com/dmlc/dgl,repo,脚本分类: github.com/dmlc/dgl,repo,,,,,
昇腾,67,pyg,训练加速,https://github.com/pyg-team/pytorch_geometric,repo,脚本分类: github.com/pyg-team/pytorch_geometric,repo,,,,,
昇腾,68,megablocks,训练加速,https://github.com/databricks/megablocks,repo,脚本分类: github.com/databricks/megablocks,repo,,,,,
昇腾,70,Mooncake,推理加速,https://github.com/kvcache-ai/Mooncake,repo,脚本分类: github.com/kvcache-ai/Mooncake,repo,,,,,
昇腾,71,cache-dit,推理加速,https://github.com/vipshop/cache-dit,repo,脚本分类: github.com/vipshop/cache-dit,repo,,,,,
昇腾,72,LMCache,推理加速,https://github.com/LMCache/LMCache,repo,脚本分类: github.com/LMCache/LMCache,repo,,,,,
昇腾,73,rtp-llm,推理加速,https://github.com/alibaba/rtp-llm,repo,脚本分类: github.com/alibaba/rtp-llm,repo,,,,,
昇腾,74,xllm,推理加速,https://github.com/jd-opensource/xllm,repo,脚本分类: github.com/jd-opensource/xllm,repo,,,,,
昇腾,75,router,推理加速,https://github.com/vllm-project/router,repo,脚本分类: github.com/vllm-project/router,repo,,,,,
昇腾,76,Ktransformers,推理加速,https://github.com/kvcache-ai/ktransformers,repo,脚本分类: github.com/kvcache-ai/ktransformers,repo,,,,,
昇腾,77,AIGW,推理加速,https://github.com/aigw-project/aigw,repo,脚本分类: github.com/aigw-project/aigw,repo,,,,,
昇腾,78,llm-d,推理加速,https://github.com/llm-d/llm-d,repo,脚本分类: github.com/llm-d/llm-d,repo,,,,,
昇腾,79,AIBrix,推理加速,https://github.com/vllm-project/aibrix,repo,脚本分类: github.com/vllm-project/aibrix,repo,,,,,
昇腾,80,GPUStack,推理加速,https://github.com/gpustack/gpustack,repo,脚本分类: github.com/gpustack/gpustack,repo,,,,,
昇腾,81,DiffSynth-Studio,推理加速,https://github.com/modelscope/DiffSynth-Studio,repo,脚本分类: github.com/modelscope/DiffSynth-Studio,repo,,,,,
昇腾,82,FlagScale,推理加速,https://github.com/flagos-ai/FlagScale,repo,脚本分类: github.com/flagos-ai/FlagScale,repo,,,,,
昇腾,83,ColossalAI,推理加速,https://github.com/hpcaitech/ColossalAI,repo,脚本分类: github.com/hpcaitech/ColossalAI,repo,,,,,
昇腾,84,Vbench,推理加速,https://github.com/Vchitect/VBench,repo,脚本分类: github.com/Vchitect/VBench,repo,,,,,
昇腾,85,llm-compressor,推理加速,https://github.com/vllm-project/llm-compressor,repo,脚本分类: github.com/vllm-project/llm-compressor,repo,,,,,
昇腾,86,LightX2V,推理加速,https://github.com/ModelTC/LightX2V,repo,脚本分类: github.com/ModelTC/LightX2V,repo,,,,,
昇腾,87,xDiT,推理加速,https://github.com/xdit-project/xDiT,repo,脚本分类: github.com/xdit-project/xDiT,repo,,,,,
昇腾,91,TileLang,算子库和编程,https://github.com/tile-ai/tilelang,repo,脚本分类: github.com/tile-ai/tilelang,repo,,,,,
鲲鹏,1,Glibc,基础库&加速库,https://github.com/bminor/glibc,repo,脚本分类: github.com/bminor/glibc,repo,,,,,
鲲鹏,2,Hyperscan,基础库&加速库,https://github.com/est31/cargo-udeps,repo,脚本分类: github.com/est31/cargo-udeps,repo,,,,,
鲲鹏,4,Zlib,基础库&加速库,https://github.com/madler/zlib,repo,脚本分类: github.com/madler/zlib,repo,,,,,
鲲鹏,5,LZ4,基础库&加速库,https://github.com/lz4/lz4,repo,脚本分类: github.com/lz4/lz4,repo,,,,,
鲲鹏,6,zlib-ng,基础库&加速库,https://github.com/zlib-ng/zlib-ng,repo,脚本分类: github.com/zlib-ng/zlib-ng,repo,,,,,
鲲鹏,7,edk2,基础库&加速库,https://github.com/tianocore/edk2,repo,脚本分类: github.com/tianocore/edk2,repo,,,,,
