owner,owner_type,name,platform,url,repo_count,页签,分类,description,blog,location,public_repos,source,repos_list
apache,organization,The Apache Software Foundation,github.com,https://github.com/apache,49,鲲鹏,"Web,基础库&加速库,大数据,搜广推,数据库",,https://www.apache.org/,,3097,github_api,Hadoop;Spark;Hive;HBase;Flink;Kafka;Storm;Impala;Zookeeper;Tez;Flume;Oozie;Solr;Kylin;Accumulo;Avro;Pig;Atlas;Livy;Parquet;Mesos;Thrift;Drill;Druid;Phoenix;Lucene;Arrow;Kudu;Apache HTTP Server;Tomcat;ATS;Dubbo;Cassandra;Maven;Ant;APR-util;ActiveMQ;APR;Guacamole;Doris;Gluten(京东/美团);Iceberg(字节/京东);Ambari(中移);hudi(字节/京东);ORC(京东);Celeborn（阿里）;auron（快手）;TVM(CBG);brpc
google,organization,Google,github.com,https://github.com/google,8,"昇腾,鲲鹏","ARM应用支持,基础库&加速库,应用加速,搜广推,数据库",Google ❤️ Open Source,https://opensource.google/,United States of America,2852,github_api,A2UI;Snappy;benchmark;LevelDB;Google Test;FlatBuffers;RE2;ScaNN(美团)
huggingface,organization,Hugging Face,github.com,https://github.com/huggingface,7,昇腾,"推理加速,训练加速",The AI community building the future.,https://huggingface.co/,NYC + Paris,403,github_api,transformers;accelerate;PEFT;TRL;diffusers;timm;TGI
alibaba,organization,Alibaba,github.com,https://github.com/alibaba,6,"昇腾,鲲鹏","Web,基础库&加速库,推理加速,训练加速",Alibaba Open Source,https://opensource.alibaba.com/,"Hangzhou, China",520,github_api,ChatLearn;ROLL;rtp-llm;Tengine;FastJSON;canal
vllm-project,organization,vLLM,github.com,https://github.com/vllm-project,5,"昇腾,鲲鹏","推理加速,搜广推,训练加速",,,,36,github_api,speculators;router;AIBrix;llm-compressor;vLLM(蚂蚁/腾讯)
facebook,organization,Meta,github.com,https://github.com/facebook,5,鲲鹏,"基础库&加速库,数据库",We are working to build community through open source technology. NB: members must have two-factor auth.,https://opensource.fb.com,"Menlo Park, California",167,github_api,Zstd;RocksDB;React;folly(字节);fbthrift(字节)
NVIDIA,organization,NVIDIA Corporation,github.com,https://github.com/NVIDIA,4,"昇腾,鲲鹏","HPC,搜广推,训练加速",,https://nvidia.com,"2788 San Tomas Expressway, Santa Clara, CA, 95051",710,github_api,Magatron;TensorRT;TensorRT（京东）;TensorRT-LLM（京东）
pytorch,organization,pytorch,github.com,https://github.com/pytorch,4,"昇腾,鲲鹏","搜广推,训练加速",,https://pytorch.org,where the eigens are valued,67,github_api,torchtitan;tensordict;torchvision;PyTorch
microsoft,organization,Microsoft,github.com,https://github.com/microsoft,3,"昇腾,鲲鹏","基础库&加速库,推理加速,搜广推",Open source projects and samples from Microsoft,https://opensource.microsoft.com,"Redmond, WA",7751,github_api,ONNXRuntime;TypeScript;DiskANN(字节)
tensorflow,organization,tensorflow,github.com,https://github.com/tensorflow,3,"昇腾,鲲鹏","AI框架,搜广推",,http://www.tensorflow.org,,107,github_api,TensorFlow;tensorflow-serving(BOSS);XLA(京东)
